corpus,chunk1,chunk2
könnyebben,könny,ebben
könnyebben,könnyebb,en
eredményeket,eredménye,ket
eredményeket,eredmények,et
helyeken,helye,ken
helyeken,helyek,en
páran,pá,ran
páran,pár,an
feküdtem,feküdt,em
gyerekként,gyerek,ként
írtad,ír,tad
írtad,írt,ad
erőszakot,erőszak,ot
istenért,isten,ért
bízzon,bízz,on
készülök,ké,szülök
készülök,kész,ülök
készülök,készül,ök
kezded,kezd,ed
úrnő,úr,nő
önmagam,ön,magam
ígértem,ígért,em
szerezzen,szerez,zen
szerezzen,szerezz,en
kerülne,kerül,ne
patkányok,patkány,ok
hunter,hunt,er
másolatot,másolat,ot
történetesen,története,sen
halálának,halálán,ak
máshova,más,hova
mutatta,mutat,ta
lopás,lop,ás
országos,ország,os
hétfő,hét,fő
fiammal,fiam,mal
bankban,bank,ban
tökfej,tök,fej
pánik,pá,nik
like,li,ke
alibije,alibi,je
óvatosak,óvatos,ak
házad,ház,ad
röviden,rövid,en
egyetértünk,egye,tértünk
egyetértünk,egyet,értünk
baker,bak,er
csapás,csap,ás
magatokra,magatok,ra
segítségért,segítség,ért
borzasztóan,borzasztó,an
halottkém,halott,kém
azokon,azok,on
azokban,azok,ban
cserélni,cserél,ni
sivatagban,sivatag,ban
óvatosnak,óvatos,nak
holt,ho,lt
bírni,bír,ni
papírok,pap,írok
papírok,papír,ok
maszkot,maszk,ot
észrevette,észre,vette
valahányszor,val,ahányszor
valahányszor,vala,hányszor
hátán,há,tán
hátán,hát,án
erősnek,erős,nek
amatőr,ama,tőr
mona,mo,na
gyerekkoromban,gyerek,koromban
gyerekkoromban,gyerekkorom,ban
zavarban,zavar,ban
bárkivel,bárki,vel
jessie,jess,ie
harcban,harc,ban
egyen,eg,yen
egyen,egy,en
versenyen,verseny,en
csapatom,csap,atom
csapatom,csapat,om
énekes,ének,es
isaac,isa,ac
teherautó,teher,autó
gyógyszereket,gyógyszere,ket
gyógyszereket,gyógyszerek,et
államokban,államok,ban
óránál,órán,ál
valamim,val,amim
valamim,vala,mim
láthatóan,látható,an
máshová,más,hová
barátokat,barátok,at
time,ti,me
csini,csi,ni
gyűlölet,gyűlöl,et
sarkán,sark,án
téren,tér,en
egér,eg,ér
irántam,irán,tam
irántam,iránt,am
biztonságiak,biztonsági,ak
szépségem,szépség,em
szívből,szív,ből
ezáltal,ez,által
bulin,bu,lin
richie,rich,ie
gyilkosságok,gyilkosság,ok
vezetnek,vezet,nek
fontot,font,ot
falra,fal,ra
mehetnek,mehet,nek
nyugatra,nyugat,ra
tervezte,tervez,te
teher,te,her
számítógépes,számítógép,es
táborba,tábor,ba
úrnőm,úr,nőm
születtél,szül,ettél
falak,fal,ak
folytatja,folytat,ja
főzök,főz,ök
fogoly,fog,oly
kérhetek,kér,hetek
frissen,friss,en
jöhetnek,jöhet,nek
tartottak,tartott,ak
halkabban,halk,abban
kezeit,keze,it
keményebben,kemény,ebben
keményebben,keményebb,en
ezekből,ezek,ből
edzés,edz,és
irányítás,irányít,ás
seggfejek,segg,fejek
ennyivel,ennyi,vel
örülne,örül,ne
kanadai,kana,dai
olvasok,olvas,ok
folyamatos,folyamat,os
szabadok,szab,adok
szabadok,szabad,ok
induljon,indul,jon
induljon,indulj,on
szeretője,szerető,je
delta,del,ta
artie,art,ie
képzeled,képzel,ed
döntésem,döntés,em
történeteket,története,ket
történeteket,történetek,et
állhat,áll,hat
tulajdona,tulaj,dona
csapatnak,csapat,nak
jóságos,jóság,os
hajnalban,hajnal,ban
normálisan,normális,an
késtél,kés,tél
késtél,kést,él
fiúkkal,fiúk,kal
nézned,néz,ned
zavarok,zavar,ok
háttérben,hát,térben
mélyebbre,mélyebb,re
gyanúsítottat,gyanúsított,at
számla,szám,la
kezdetnek,kezdet,nek
egyforma,egy,forma
emelni,emel,ni
írom,ír,om
erin,er,in
válaszom,válasz,om
vágott,vág,ott
nevetsz,ne,vetsz
ágyat,ágy,at
támadnak,támad,nak
hősök,hős,ök
tisztelet,tisztel,et
köszönhetem,köszön,hetem
trükköt,trükk,öt
osztályon,osztály,on
észrevetted,észre,vetted
észrevetted,észrevett,ed
segítséged,segítség,ed
kocsimat,kocsim,at
szádat,szád,at
nejem,ne,jem
viselte,visel,te
harcra,harc,ra
harcolnak,harcol,nak
tisztelem,tisztel,em
data,da,ta
jelentkezzen,jelentkezz,en
pasim,pa,sim
pasim,pas,im
port,po,rt
kutyákat,kutyák,at
részletet,részlet,et
lovakat,lova,kat
lovakat,lovak,at
naiv,na,iv
vera,ve,ra
tudniuk,tudni,uk
kérned,kér,ned
jonas,jon,as
kelet,kel,et
súlyosan,súly,osan
súlyosan,súlyos,an
raktár,rak,tár
találkozzon,találkozz,on
fort,fo,rt
fején,fej,én
semmin,sem,min
erősebben,erő,sebben
erősebben,erős,ebben
erősebben,erősebb,en
állom,áll,om
családdal,család,dal
kulcsok,kulcs,ok
szereztél,szerez,tél
holnapig,hol,napig
holnapig,holnap,ig
imádnivaló,imádni,való
buszon,busz,on
parkba,park,ba
gondok,gon,dok
gondok,gond,ok
hangok,hang,ok
kellős,kell,ős
jármű,jár,mű
esve,es,ve
garázsban,garázs,ban
lázadó,láz,adó
szándékos,szándék,os
másért,má,sért
másért,más,ért
másért,másé,rt
végzetes,végzet,es
igyon,igy,on
központban,köz,pontban
központban,központ,ban
követően,követő,en
féljen,fél,jen
féljen,félj,en
támadtak,támad,tak
támadtak,támadt,ak
dobás,dob,ás
jarod,ja,rod
képzelje,képzel,je
házamba,házam,ba
tüzes,tüz,es
egykori,egy,kori
adams,ada,ms
várta,vár,ta
fogadjunk,fog,adjunk
naptól,nap,tól
lőnek,lő,nek
hallgatott,hallgat,ott
ügyvédi,ügy,védi
burt,bu,rt
barátodat,barátod,at
műveltél,művel,tél
műveltél,művelt,él
sikeresen,sikere,sen
sikeresen,sikeres,en
magabiztos,maga,biztos
próbáltalak,próbált,alak
eszközt,esz,közt
szellemet,szellem,et
otthagyta,ott,hagyta
akarnál,akar,nál
randim,rand,im
súgja,súg,ja
szerepelt,szerepe,lt
órákat,órák,at
fiatalon,fiatal,on
juan,ju,an
választom,válasz,tom
választom,választ,om
grayson,gray,son
útja,út,ja
nagyúr,nagy,úr
nyelvet,nyelv,et
jönnél,jön,nél
ítéletet,ítél,etet
ítéletet,ítélet,et
regina,re,gina
járőr,jár,őr
lényeges,lényeg,es
egymillió,egy,millió
monroe,mon,roe
tiszteletem,tisztelet,em
szóltok,szól,tok
szóltok,szólt,ok
zsaruknak,zsaruk,nak
kezdje,kezd,je
szerte,szer,te
lányommal,lányom,mal
jobbá,job,bá
nevedet,neved,et
tanúja,tanú,ja
jared,ja,red
jared,jar,ed
akitől,aki,től
fogás,fog,ás
célpontot,cél,pontot
célpontot,célpont,ot
tudás,tud,ás
pokolra,pokol,ra
álmodom,álmod,om
helyrehozni,helyre,hozni
karácsonyra,karácsony,ra
pápa,pá,pa
lásson,láss,on
faszba,fasz,ba
nolan,no,lan
halak,hal,ak
kötél,kö,tél
kötél,köt,él
lányról,lány,ról
hatóságok,hatóság,ok
családból,család,ból
senor,sen,or
néma,né,ma
vádakat,vádak,at
juttatni,juttat,ni
fizetés,fizet,és
sorozatgyilkos,sorozat,gyilkos
kapcsolatok,kapcsolat,ok
reggelire,reggeli,re
hajók,ha,jók
éveken,éve,ken
éveken,évek,en
csakúgy,csak,úgy
táncot,tánc,ot
ugyanilyen,ugyan,ilyen
rendőröket,rend,őröket
rendőröket,rendőr,öket
rendőröket,rendőrök,et
reakció,re,akció
mindenkinél,mindenki,nél
mindenkinél,mindenkin,él
utáltam,utál,tam
utáltam,utált,am
estig,est,ig
önökkel,önök,kel
kezedet,kezed,et
maradnék,mar,adnék
valahonnan,val,ahonnan
valahonnan,vala,honnan
szerdán,szer,dán
hozzam,hozz,am
örömet,öröm,et
szívesebben,szíve,sebben
szívesebben,szíves,ebben
utánanéztem,utána,néztem
papi,pa,pi
élte,él,te
áramot,áram,ot
tréfa,tré,fa
fegyvered,fegyver,ed
festesz,fest,esz
douglas,doug,las
babám,bab,ám
moon,mo,on
dixon,dix,on
csapatok,csapat,ok
ajtókat,ajtó,kat
ajtókat,ajtók,at
szolgálja,szolgál,ja
üdvözletem,üdvözlet,em
vezetem,vezet,em
ébredtem,ébredt,em
nagybátyám,nagy,bátyám
négyszer,négy,szer
fedélzetre,fedélzet,re
kaptok,kap,tok
kopj,ko,pj
szedje,szed,je
könyvtárban,könyvtár,ban
indultam,indul,tam
indultam,indult,am
superman,super,man
adnál,ad,nál
fejemet,feje,met
fejemet,fejem,et
porter,port,er
ügyem,ügy,em
várva,vár,va
mindezek,mind,ezek
carson,car,son
igazuk,igaz,uk
találtatok,találta,tok
nevezni,nevez,ni
tollat,toll,at
vágta,vág,ta
szenvedni,szenved,ni
mindennapi,minden,napi
szádra,szád,ra
alapja,al,apja
alapja,alap,ja
angeles,angel,es
történteket,történtek,et
méteres,méter,es
bátorságot,bátorság,ot
feküdjön,feküdj,ön
ráérsz,rá,érsz
mivan,mi,van
egységnek,egység,nek
páros,pár,os
pipa,pi,pa
ülnek,ül,nek
kérdem,kérd,em
árthat,ár,that
árthat,árt,hat
mindazt,mind,azt
tini,ti,ni
farkasok,farka,sok
farkasok,farkas,ok
gavin,ga,vin
akihez,aki,hez
távozzon,távozz,on
telefonálni,telefonál,ni
végleges,végleg,es
menedéket,menedék,et
kétségbeesett,kétségbe,esett
többről,több,ről
figyelmeztetni,figyelmeztet,ni
hátad,há,tad
hátad,hát,ad
hátba,hát,ba
farmon,far,mon
farmon,farm,on
testvéreim,testvére,im
tartsam,tart,sam
tartsam,tarts,am
istenkém,isten,kém
tegyenek,tegye,nek
sokba,sok,ba
verte,ver,te
telefonban,telefon,ban
comment,com,ment
hajóval,ha,jóval
hajóval,hajó,val
keletre,kelet,re
számíthatok,számíthat,ok
gyilkosságért,gyilkosság,ért
tönkretenni,tönkre,tenni
találkozóra,találkozó,ra
érzéseim,érzése,im
részegen,rész,egen
részegen,része,gen
részegen,részeg,en
szörnyet,szörny,et
célom,cél,om
érdemli,érdem,li
ismernem,ismer,nem
hazajön,haza,jön
pierre,pi,erre
visznek,visz,nek
rendezni,rendez,ni
mindkettőnk,mind,kettőnk
fotókat,fotó,kat
fotókat,fotók,at
szertartás,szer,tartás
mexikóban,mexikó,ban
ülve,ül,ve
írnak,ír,nak
helyszínre,hely,színre
helyszínre,helyszín,re
fejedet,fejed,et
önmaga,ön,maga
rájöttek,rá,jöttek
eget,eg,et
texas,tex,as
másodpercet,másod,percet
másodpercet,másodperc,et
emelje,emel,je
lényeget,lény,eget
lényeget,lényeg,et
parancsokat,parancsok,at
bulira,buli,ra
élvezed,élve,zed
élvezed,élvez,ed
szerkezet,szer,kezet
épült,ép,ült
arccal,arc,cal
nyilatkozatot,nyilatkozat,ot
fiúknak,fiúk,nak
térjen,tér,jen
térjen,térj,en
szemeid,szeme,id
folytatom,folyt,atom
folytatom,folytat,om
vegyenek,vegye,nek
ivan,iv,an
lift,li,ft
szeretetet,szeret,etet
szeretetet,szeretet,et
sajtot,sajt,ot
hazajött,haza,jött
férjemmel,férjem,mel
maguktól,maguk,tól
egymásba,egy,másba
egymásba,egymás,ba
nőre,nő,re
háborúnak,háború,nak
veszélyesek,veszély,esek
paris,par,is
hajt,ha,jt
dolgokon,dolgok,on
fontosat,fontos,at
tárgyalni,tárgyal,ni
esténként,estén,ként
gyerekeid,gyereke,id
valamennyi,val,amennyi
valamennyi,vala,mennyi
haverod,have,rod
ezalatt,ez,alatt
fordított,fordít,ott
hagynia,hagy,nia
vesztettél,vesz,tettél
vesztettél,vesztett,él
motoros,motor,os
merlin,mer,lin
barátaimmal,barátaim,mal
követtél,kö,vettél
követtél,követ,tél
gimis,gim,is
cuccokat,cuccok,at
válaszolok,válaszol,ok
kövesse,kö,vesse
vállalni,vállal,ni
hangom,hang,om
kacsa,ka,csa
latin,la,tin
kötöttem,kötött,em
harcolok,harcol,ok
fénykép,fény,kép
választottad,választott,ad
kedveltem,kedvelt,em
jonah,jo,nah
jonah,jon,ah
vivian,viv,ian
játszottál,játszott,ál
erőszakkal,erőszak,kal
rosszra,rossz,ra
készültek,kész,ültek
távolságot,távolság,ot
szereznem,szerez,nem
mondás,mond,ás
haladjunk,hal,adjunk
emberré,ember,ré
gondjai,gond,jai
vérem,vér,em
választja,választ,ja
washingtonban,washington,ban
égből,ég,ből
főnöknek,főnök,nek
fincsi,fin,csi
próbáltuk,próbált,uk
otthagytam,ott,hagytam
végem,vég,em
pillanatok,pillanat,ok
pánikba,pánik,ba
senkire,senki,re
véghez,vég,hez
tudnának,tudná,nak
öket,ök,et
hónapokig,hó,napokig
hónapokig,hónapok,ig
rosszfiú,rossz,fiú
calvin,cal,vin
tanya,tan,ya
fényképet,fény,képet
fényképet,fénykép,et
szóljak,szólj,ak
mosni,mos,ni
holland,hol,land
autóba,au,tóba
autóba,autó,ba
egye,eg,ye
családommal,családom,mal
lőjenek,lője,nek
bárhova,bár,hova
stop,st,op
várjál,várj,ál
magasabbra,magasabb,ra
sort,so,rt
pite,pi,te
acél,ac,él
emberről,ember,ről
lépcső,lép,cső
bízhatok,bízhat,ok
sajtos,sajt,os
callie,call,ie
lovas,lo,vas
fogadtam,fog,adtam
fogadtam,fogad,tam
buszra,busz,ra
haláltól,halál,tól
kértelek,kér,telek
queen,que,en
valamin,val,amin
valamin,vala,min
tönkreteszi,tönkre,teszi
foglalva,foglal,va
sarokban,sarok,ban
télen,tél,en
toll,to,ll
tényeket,tények,et
lakásán,lakás,án
küldtél,küld,tél
vega,ve,ga
barátaimat,barátaim,at
követik,kö,vetik
terepen,terep,en
sandra,sand,ra
bankba,bank,ba
ajándékom,ajándék,om
ígéret,ígér,et
tökmindegy,tök,mindegy
zenekar,zene,kar
rosa,ro,sa
tűntél,tűnt,él
városnak,város,nak
allah,all,ah
főiskolán,fő,iskolán
just,ju,st
franciaországban,francia,országban
franciaországban,franciaország,ban
észrevenni,észre,venni
nyomozni,nyomoz,ni
kezeli,keze,li
moore,moo,re
illő,il,lő
parancsára,parancs,ára
raktam,rak,tam
bírta,bír,ta
srácokkal,srác,okkal
srácokkal,srácok,kal
sasha,sa,sha
sasha,sas,ha
egyezséget,egyezség,et
adás,ad,ás
kapcsolni,kapcsol,ni
álmaim,álma,im
találjon,talál,jon
találjon,találj,on
töltöm,tölt,öm
pokolian,pokol,ian
pokolian,pokoli,an
lstenem,lsten,em
korodban,korod,ban
szemeim,szeme,im
roll,ro,ll
munkádat,mun,kádat
munkádat,munkád,at
nyugtalan,nyugta,lan
stevie,st,evie
utasításokat,utasítások,at
tízezer,tíz,ezer
kormánynak,kormány,nak
furcsának,furcsán,ak
kapj,ka,pj
városon,város,on
segíthetne,segíthet,ne
lábon,lá,bon
lábon,láb,on
kapitánynak,kapitány,nak
társad,társ,ad
szerda,szer,da
vezessen,vezess,en
terveim,terve,im
észhez,ész,hez
rájöttél,rá,jöttél
rájöttél,rájött,él
embered,ember,ed
vágja,vág,ja
írtak,ír,tak
írtak,írt,ak
ülés,ül,és
merj,me,rj
szemtanúk,szem,tanúk
tapasztalatom,tapasztalat,om
értened,érte,ned
futottam,futott,am
nadrágot,nadrág,ot
térerő,tér,erő
kockáztatni,kockáztat,ni
sétálok,sétál,ok
ujjlenyomatot,ujjlenyomat,ot
élnem,él,nem
hegyi,heg,yi
éjfélkor,éjfél,kor
abbahagynád,abba,hagynád
goku,go,ku
tudjak,tudj,ak
órákig,órák,ig
emberként,ember,ként
szomszédban,szomszéd,ban
tudnátok,tudná,tok
repülőn,repül,őn
kamerákat,kamerák,at
hívjanak,hívja,nak
szülés,szül,és
egyikünknek,egyikünk,nek
archie,arch,ie
férjének,férj,ének
művelet,művel,et
működjön,működj,ön
darabja,da,rabja
darabja,darab,ja
félned,fél,ned
cégnek,cég,nek
édesapja,édes,apja
számolok,számol,ok
pasid,pa,sid
pasid,pas,id
phillip,phil,lip
ajándékokat,ajándékok,at
árulás,árul,ás
adnia,ad,nia
hajója,hajó,ja
bűntudat,bűn,tudat
helynek,hely,nek
bántam,bánt,am
törődjön,törődj,ön
távolról,távol,ról
mered,me,red
mered,mer,ed
homer,ho,mer
színház,szín,ház
üzeneteket,üzenete,ket
üzeneteket,üzenetek,et
ismerősnek,ismerős,nek
utánanézek,utána,nézek
nevezem,nevez,em
lakásom,lakás,om
üzemanyag,üzem,anyag
tanácsos,tanács,os
kérded,kérd,ed
bántott,bánt,ott
repülőgép,repülő,gép
nyakig,nyak,ig
segítettek,segít,ettek
küldjenek,küldje,nek
adat,ad,at
tervei,terv,ei
mindegyiket,mind,egyiket
mindegyiket,mindegyik,et
jóra,jó,ra
hónapon,hó,napon
hónapon,hónap,on
francokat,franco,kat
pihenjen,pihen,jen
pihenjen,pihenj,en
érint,ér,int
nevelt,neve,lt
karod,ka,rod
semmitől,sem,mitől
semmitől,semmi,től
csillagokat,csillagok,at
lábbal,láb,bal
rettenetesen,rettenetes,en
times,tim,es
lássalak,láss,alak
ésszerű,és,szerű
folt,fo,lt
karrierem,karrier,em
házamból,házam,ból
kezdjen,kezd,jen
kezdjen,kezdj,en
szememmel,szemem,mel
ölnek,öl,nek
arcodat,arcod,at
magadon,maga,don
magadon,magad,on
készüljenek,kész,üljenek
kabátot,kabát,ot
fogadást,fog,adást
maradtok,mar,adtok
maradtok,marad,tok
maradtok,maradt,ok
őrültnek,őrült,nek
dolgozzon,dolgozz,on
férjnél,férj,nél
sértés,sért,és
sírtam,sír,tam
sírtam,sírt,am
ötletnek,ötlet,nek
haverok,haver,ok
támogatom,támogat,om
kávézóban,kávézó,ban
heroin,hero,in
bajuk,baj,uk
ágyból,ágy,ból
kane,ka,ne
vadállat,vad,állat
rákot,rák,ot
meséltél,mesél,tél
meséltél,mesélt,él
önnél,ön,nél
rabszolga,rab,szolga
idődet,időd,et
dante,dan,te
kalóz,kal,óz
szexuálisan,szexuális,an
sebesült,sebe,sült
sebesült,sebes,ült
tárgyaláson,tárgyalás,on
naplója,napló,ja
bérgyilkos,bér,gyilkos
nicsak,ni,csak
vidéken,vidék,en
there,the,re
adagot,ada,got
adagot,adag,ot
mennyország,menny,ország
fordulni,fordul,ni
emlékeket,emléke,ket
emlékeket,emlékek,et
módszert,mód,szert
szenvedélyes,szenvedély,es
szívvel,szív,vel
sikátorban,sikátor,ban
egybeesés,egybe,esés
asztalhoz,asztal,hoz
rádióban,rádió,ban
döntésed,döntés,ed
piacra,piac,ra
érdekelni,érdekel,ni
indulásra,indulás,ra
tolvajok,tolvaj,ok
bánat,bá,nat
lola,lo,la
olykor,oly,kor
marvin,mar,vin
marvin,marv,in
pasija,pasi,ja
álljak,állj,ak
fagyit,fagy,it
falhoz,fal,hoz
homályos,homály,os
emberekről,emberek,ről
öljön,öl,jön
öljön,ölj,ön
készüljön,kész,üljön
készüljön,készül,jön
készüljön,készülj,ön
ipari,ip,ari
későre,kés,őre
későre,késő,re
próbáltál,próbál,tál
próbáltál,próbált,ál
tetőre,tető,re
nagymamám,nagy,mamám
barátnőjét,barát,nőjét
szintet,szint,et
abigail,abi,gail
háborúba,háború,ba
szabadott,szab,adott
szabadott,szabad,ott
viselem,visel,em
készpénzben,kész,pénzben
kérdésemre,kérdésem,re
hugo,hu,go
említetted,említ,etted
említetted,említett,ed
nagyapád,nagy,apád
kezdtél,kezd,tél
lányra,lány,ra
amikről,amik,ről
húzta,húz,ta
szavazni,szavaz,ni
szüleimet,szülei,met
szüleimet,szüleim,et
számíthat,számít,hat
égve,ég,ve
rájöttünk,rá,jöttünk
rémült,rém,ült
hagyok,hagy,ok
jajj,ja,jj
hétvégét,hét,végét
june,ju,ne
gyerekkori,gyerek,kori
rosszkor,rossz,kor
tervezem,tervez,em
jelszó,jel,szó
munkahelyi,munka,helyi
állapot,ál,lapot
nőről,nő,ről
váltam,vált,am
vallás,vall,ás
vérnyomása,vér,nyomása
értve,ért,ve
mondanál,monda,nál
választottál,választott,ál
alfred,al,fred
alfred,alf,red
hullám,hull,ám
neje,ne,je
nyerte,nyer,te
hallgatok,hallgat,ok
adásban,adás,ban
életeket,élete,ket
életeket,életek,et
tudat,tud,at
bátyámat,bátyám,at
érzéseit,érzése,it
barátaival,barátai,val
mario,ma,rio
nyomait,nyoma,it
értél,ér,tél
értél,ért,él
szalagot,szalag,ot
mini,mi,ni
embereken,embere,ken
embereken,emberek,en
okokból,ok,okból
okokból,okok,ból
hegyen,heg,yen
hegyen,hegy,en
nevess,ne,vess
nevess,neve,ss
töröld,tör,öld
keresnem,keres,nem
tippet,tip,pet
tippet,tipp,et
vert,ve,rt
részei,rész,ei
fizette,fizet,te
nagybácsi,nagy,bácsi
egyenruhát,egyen,ruhát
messziről,messzi,ről
földről,föld,ről
játékok,játék,ok
vegasban,vegas,ban
tudhat,tud,hat
lépéseket,lépése,ket
lépéseket,lépések,et
helyesnek,hely,esnek
helyesnek,helyes,nek
szigetre,sziget,re
unokaöcsém,unoka,öcsém
katonákat,katonák,at
christina,chris,tina
mentette,men,tette
mentette,ment,ette
zenész,zen,ész
fürdőszoba,fürdő,szoba
ered,er,ed
látva,lát,va
tanítottam,tanított,am
haladsz,hal,adsz
hajtott,hajt,ott
versenyre,verseny,re
vonalon,vonal,on
dögölj,dög,ölj
fegyverekkel,fegyverek,kel
középen,köz,épen
középen,közé,pen
középen,közép,en
érezzem,érezz,em
időket,id,őket
időket,idő,ket
időket,idők,et
földalatti,föld,alatti
teal,te,al
állomásra,állomás,ra
áldozatokat,áldozatok,at
életemből,életem,ből
páratlan,párat,lan
főnököt,főnök,öt
vadásznak,vadász,nak
fogadás,fog,adás
fogadás,fogad,ás
engednek,enged,nek
bármiben,bár,miben
mindörökké,mind,örökké
végeznek,végez,nek
piac,pi,ac
mindegyikük,mind,egyikük
javier,javi,er
telefonál,tele,fonál
telefonál,telefon,ál
mérföldet,mér,földet
mérföldet,mérföld,et
hajóról,hajó,ról
könyvtár,könyv,tár
közelebbről,közelebb,ről
rémülve,rém,ülve
igazságszolgáltatás,igazság,szolgáltatás
húzzon,húzz,on
melanie,me,lanie
török,tör,ök
használtad,használ,tad
használtad,használt,ad
láss,lá,ss
dalokat,dalok,at
országból,ország,ból
szerzetes,szerzet,es
bőre,bő,re
tartana,tart,ana
képzelem,képzel,em
márpedig,már,pedig
kíváncsiak,kíváncsi,ak
állásom,állás,om
enned,en,ned
melletti,mell,etti
melletti,mellet,ti
hullámok,hullám,ok
vendégem,vendég,em
maradnál,mar,adnál
maradnál,marad,nál
kocsihoz,kocsi,hoz
szemtől,szem,től
alakulnak,alakul,nak
egyenruha,egyen,ruha
indiánok,indián,ok
tarthat,tart,hat
lázadók,láz,adók
wall,wa,ll
szexről,szex,ről
lori,lo,ri
bálba,bál,ba
házkutatási,ház,kutatási
verje,ver,je
vészes,vész,es
angelo,ange,lo
hittél,hit,tél
hittél,hitt,él
jelét,je,lét
engedélyem,engedély,em
hagyhatja,hagyhat,ja
osztályban,osztály,ban
isabel,is,abel
táncolok,táncol,ok
hadsereget,had,sereget
hadsereget,hadsereg,et
meccsen,meccs,en
rejteget,rejt,eget
ajándékba,ajándék,ba
tonna,ton,na
csapatba,csapat,ba
melegek,mel,egek
csoportot,csoport,ot
kalapot,ka,lapot
kalapot,kalap,ot
anton,an,ton
engeded,enged,ed
óvadékot,óvadék,ot
irányban,irány,ban
utcákon,utcák,on
dolgokban,dolgok,ban
embertől,ember,től
űrhajó,űr,hajó
húzzatok,húzza,tok
válaszoltál,válaszol,tál
válaszoltál,válaszolt,ál
lányomnak,lá,nyomnak
lányomnak,lányom,nak
herceget,herceg,et
várnia,vár,nia
mutattam,mutat,tam
anyunak,anyu,nak
ügynek,ügy,nek
mindenkorra,minden,korra
négyet,négy,et
francos,franc,os
szántam,szán,tam
szántam,szánt,am
mondhat,mond,hat
útnak,út,nak
akta,ak,ta
sofia,so,fia
vonni,von,ni
járjon,jár,jon
járjon,járj,on
figyelmeztettelek,figyelmeztet,telek
mobilja,mobil,ja
szenvedés,szenved,és
ittas,itt,as
nyaralni,nyaral,ni
részletes,részlet,es
hamilton,ha,milton
éltél,él,tél
éltél,élt,él
férfiakkal,férfiak,kal
tanút,tan,út
shelby,shel,by
célra,cél,ra
szívrohamot,szív,rohamot
szívrohamot,szívroham,ot
ajánlok,ajánl,ok
néhányszor,né,hányszor
nagymenő,nagy,menő
hibáztatom,hibáztat,om
pénzből,pénz,ből
biztosítva,biztosít,va
ügyeket,ügye,ket
ügyeket,ügyek,et
pihenned,pihen,ned
értett,ér,tett
értett,érte,tt
hajlamos,hajlam,os
adhatom,adhat,om
figyelemre,figyelem,re
sosincs,so,sincs
bolondot,bolond,ot
fánkot,fánk,ot
aggodalomra,aggodalom,ra
lapos,la,pos
lapos,lap,os
szakítottam,szakított,am
sírba,sír,ba
japánban,japán,ban
városa,vá,rosa
biztonságba,biztonság,ba
ásni,ás,ni
mondhattam,mondhat,tam
munkanélküli,munka,nélküli
unni,un,ni
állított,állít,ott
futok,fu,tok
futok,fut,ok
értenek,érte,nek
juliette,juliet,te
műszaki,mű,szaki
miattuk,miatt,uk
lázadás,láz,adás
lázadás,lázad,ás
halnia,hal,nia
hordani,horda,ni
helyénvaló,helyén,való
mexikóba,mexikó,ba
szigetet,sziget,et
valahogyan,val,ahogyan
valahogyan,vala,hogyan
valahogyan,valahogy,an
társaságot,társaság,ot
szagot,szag,ot
darabban,dar,abban
darabban,darab,ban
teremtés,teremt,és
utamba,utam,ba
kényelmetlenül,kényelmetlen,ül
születésnapi,születés,napi
világból,világ,ból
rohadékot,rohadék,ot
hazament,haza,ment
döntök,dönt,ök
írjon,ír,jon
írjon,írj,on
repülőt,repül,őt
férfiaknak,férfiak,nak
hollywood,holly,wood
másodpercig,másod,percig
másodpercig,másodperc,ig
mágneses,mágnes,es
eszközök,eszköz,ök
nappaliban,nappali,ban
aigoo,ai,goo
testtel,test,tel
házra,ház,ra
hibáztatni,hibáztat,ni
repülés,repül,és
állítom,állít,om
bika,bi,ka
közölni,köz,ölni
ráér,rá,ér
fürdőszobában,fürdő,szobában
roland,ro,land
nyakán,nyak,án
siessenek,si,essenek
szívemből,szívem,ből
tengerparton,tenger,parton
tengerparton,tengerpart,on
mutatom,mutat,om
alakot,alak,ot
zsákutca,zsák,utca
lószart,ló,szart
kérdi,kér,di
fülem,fül,em
madarat,mad,arat
szobádban,szobád,ban
harcba,harc,ba
horgászni,horgász,ni
képed,kép,ed
padlóra,pad,lóra
padlóra,padló,ra
európa,euró,pa
derült,der,ült
fizetnem,fizet,nem
csatlakozzon,csatlakozz,on
látogatóba,látogató,ba
nikita,niki,ta
gyerekekre,gyerekek,re
olyasvalaki,olyas,valaki
zárat,zár,at
viseled,visel,ed
tanárok,tan,árok
tanárok,tanár,ok
valóságban,valóság,ban
váljon,válj,on
járna,jár,na
hálát,há,lát
aktákat,akták,at
területre,terület,re
mentett,men,tett
szerettek,szer,ettek
csillagos,csillag,os
francban,franc,ban
haladnak,hal,adnak
haladnak,halad,nak
csali,csa,li
fantasztikusan,fantasztikus,an
kezeim,keze,im
zavarom,zavar,om
érdekelné,érdekel,né
múltkori,múlt,kori
jövőbeli,jövőbe,li
életemnek,életem,nek
nevetés,nevet,és
kövessenek,kö,vessenek
kövessenek,kövesse,nek
sonia,so,nia
piti,pi,ti
rövidre,rövid,re
problémákat,problémák,at
adhat,ad,hat
önmagában,ön,magában
nappali,nap,pali
noha,no,ha
lakását,la,kását
ülésen,ülés,en
központba,központ,ba
életnek,élet,nek
mindentől,minden,től
keller,kell,er
templomot,templom,ot
tehetnek,tehet,nek
napfény,nap,fény
mosolyogni,mosolyog,ni
karja,kar,ja
azoktól,azok,tól
